DATE,CLOSE,LTP,VALUE
2024-03-01,1613.4,1610.2,1193738842.5
2024-03-02,1610.15,1611.05,71308222.7
2024-03-04,1619.3,1622.7,951359189.45
2024-03-05,1550.5,1552.0,3694428184.55
2024-03-06,1554.6,1556.0,1915026262.6
2024-03-07,1582.8,1584.7,2181819450.2
2024-03-11,1598.8,1595.0,2060890120.2
2024-03-12,1593.55,1590.0,2525546040.5
2024-03-13,1573.15,1569.55,2019553067.35
2024-03-14,1563.7,1563.75,2019425089.15
2024-03-15,1571.45,1562.2,3029737013.75
2024-03-18,1577.05,1578.0,1014724529.75
2024-03-19,1581.5,1580.0,2178015416.0
2024-03-20,1584.7,1584.0,1145378061.55
2024-03-21,1602.6,1596.1,1868063939.35
2024-03-22,1587.55,1584.0,2501083959.0
2024-03-26,1593.9,1595.0,2593899317.75
2024-03-27,1582.65,1585.0,1916574937.85
2024-03-28,1643.85,1647.0,8568470397.9
2024-04-01,1646.0,1644.0,1270204338.5
2024-04-02,1656.55,1654.0,2649166966.85
2024-04-03,1640.35,1640.1,1732481738.55
2024-04-04,1655.8,1656.95,2188410641.35
2024-04-05,1677.95,1680.05,3951250584.5
2024-04-08,1689.15,1689.65,2277640417.6
2024-04-09,1710.4,1708.0,2185947715.65
2024-04-10,1704.1,1704.4,1762326568.7
2024-04-12,1698.65,1696.0,2228152904.95
2024-04-15,1656.85,1661.0,1383872446.95
2024-04-16,1618.5,1618.35,2480609479.85
2024-04-18,1593.9,1596.25,2133814011.5
2024-04-19,1619.0,1618.6,1990407642.45
2024-04-22,1629.45,1630.9,1145190702.3
2024-04-23,1621.1,1621.3,2118838302.4
2024-04-24,1630.35,1634.45,945782668.9
2024-04-25,1655.55,1654.0,2581426236.95
2024-04-26,1597.35,1595.0,8514385731.75
2024-04-29,1595.65,1596.0,1806833405.8
2024-04-30,1615.0,1614.0,2827396935.2
2024-05-02,1615.45,1618.0,2115112735.35
2024-05-03,1627.3,1622.9,8677785984.9
2024-05-06,1611.35,1613.7,1175711852.75
2024-05-07,1615.15,1612.45,2172786127.65
2024-05-08,1603.05,1601.55,1290472565.1
2024-05-09,1564.6,1567.8,2152892846.35
2024-05-10,1572.7,1571.0,1207489879.45
2024-05-13,1580.55,1577.5,733108667.1
2024-05-14,1576.45,1579.5,1028890368.0
2024-05-15,1569.05,1570.75,915825480.3
2024-05-16,1596.0,1593.95,1915010385.45
2024-05-17,1584.75,1587.0,1109809186.4
2024-05-18,1587.5,1589.9,93539419.05
2024-05-21,1582.55,1581.0,1429235079.6
2024-05-22,1583.95,1585.0,916008515.6
2024-05-23,1608.45,1607.0,2475714520.1
2024-05-24,1601.7,1605.0,910315490.1
2024-05-27,1595.8,1597.55,2188608872.55
2024-05-28,1599.65,1598.65,2085917421.0
2024-05-29,1569.9,1567.05,2625298830.75
2024-05-30,1524.1,1525.0,3503271704.3
2024-05-31,1528.6,1531.0,4269899128.95
2024-06-03,1575.8,1578.6,2874454422.05
2024-06-04,1477.3,1489.4,6554766778.75
2024-06-05,1517.7,1519.0,2197336675.85
2024-06-06,1526.45,1531.0,4408758077.1
2024-06-07,1567.7,1565.9,4353116697.85
2024-06-10,1565.8,1560.05,1820824374.65
2024-06-11,1568.25,1569.95,1858021705.4
2024-06-12,1579.1,1580.0,2832929928.7
2024-06-13,1590.1,1586.15,1739453368.4
2024-06-14,1591.75,1587.05,1082343665.65
2024-06-18,1597.95,1597.35,2045039820.35
2024-06-19,1594.9,1590.5,2018983570.5
2024-06-20,1586.0,1587.5,2608557709.15
2024-06-21,1578.9,1579.9,5295995946.95
2024-06-24,1587.65,1586.85,1298259933.9
2024-06-25,1603.35,1606.0,4924099318.25
2024-06-26,1600.25,1600.5,2098744015.6
2024-06-27,1603.1,1599.75,4204258964.9
2024-06-28,1588.15,1590.95,3295219325.4
2024-07-01,1580.2,1580.0,3869152674.8
2024-07-02,1579.75,1582.0,4045683248.35
2024-07-03,1594.15,1594.0,1418689647.9
2024-07-04,1585.7,1583.6,2311031774.25
2024-07-05,1579.6,1580.0,1689321250.6
2024-07-08,1570.1,1568.0,1569117801.15
2024-07-09,1581.6,1581.0,1946415335.2
2024-07-10,1582.55,1583.0,2144553315.65
2024-07-11,1587.85,1588.35,2931881547.4
2024-07-12,1597.25,1597.95,1603115114.5
2024-07-15,1602.2,1605.0,2798158553.25
2024-07-16,1609.55,1610.0,1575671676.55
2024-07-18,1651.25,1648.0,4905018387.4
2024-07-19,1640.25,1635.0,3069880461.2
2024-07-22,1631.15,1633.0,1286673064.45
2024-07-23,1618.85,1613.45,4401403810.2
2024-07-24,1579.25,1585.0,5820803831.4
2024-07-25,1571.95,1576.0,2662803589.55
