DATE,CLOSE,LTP,VALUE
2024-03-01,3843.55,3840.0,2553519427.85
2024-03-02,3860.35,3858.0,68331321.75
2024-03-04,3751.45,3756.9,2421558538.1
2024-03-05,3791.9,3792.0,2231866673.1
2024-03-06,3793.2,3800.0,1191669749.9
2024-03-07,3785.25,3778.15,2779624562.55
2024-03-11,3783.9,3775.05,1415416573.05
2024-03-12,3810.75,3811.5,2018756707.25
2024-03-13,3735.55,3726.0,1618429324.45
2024-03-14,3772.65,3764.95,2710563810.9
2024-03-15,3745.65,3747.5,1824977616.85
2024-03-18,3699.7,3705.0,1976236767.75
2024-03-19,3716.85,3730.0,2070456668.45
2024-03-20,3873.6,3875.0,11849361581.5
2024-03-21,3918.95,3933.65,3287125201.55
2024-03-22,3988.4,3990.0,4084720443.5
2024-03-26,3911.1,3919.2,3046245492.1
2024-03-27,3913.8,3915.2,2019828942.1
2024-03-28,4019.3,4026.0,5250125066.05
2024-04-01,3946.65,3952.4,2119655493.15
2024-04-02,3922.2,3921.5,1906315633.35
2024-04-03,3934.2,3940.0,1538954089.95
2024-04-04,4014.3,4005.0,3708367855.35
2024-04-05,4031.25,4027.8,2161612518.2
2024-04-08,4205.75,4189.0,9111817746.3
2024-04-09,4248.65,4251.0,4073650118.3
2024-04-10,4315.1,4297.6,4348861773.75
2024-04-12,4302.25,4305.0,4916347410.1
2024-04-15,4219.35,4260.0,3662297391.35
2024-04-16,4355.7,4348.0,6376589834.2
2024-04-18,4351.2,4368.0,5787623192.5
2024-04-19,4344.15,4340.05,3106540326.0
2024-04-22,4466.95,4468.0,3480137401.75
2024-04-23,4520.15,4531.0,3330911597.35
2024-04-24,4530.7,4530.0,4183088977.5
2024-04-25,4615.2,4591.6,5746135265.8
2024-04-26,4601.0,4605.0,1676245727.85
2024-04-29,4571.85,4578.0,2126423723.3
2024-04-30,4597.4,4615.5,3073257205.7
2024-05-02,4602.4,4600.0,4172254513.05
2024-05-03,4599.25,4600.0,2591911559.9
2024-05-06,4599.0,4598.05,3306901661.75
2024-05-07,4622.4,4610.0,2328239844.2
2024-05-08,4600.1,4600.05,2819131435.9
2024-05-09,4568.05,4552.2,4527121300.8
2024-05-10,4657.85,4670.0,2180289607.15
2024-05-13,4657.45,4667.35,8089335401.65
2024-05-14,4730.55,4730.65,4084776229.8
2024-05-15,4649.35,4648.0,5035236398.05
2024-05-16,4681.75,4663.05,3910543633.8
2024-05-17,4693.9,4680.95,1344630864.9
2024-05-18,4684.4,4685.0,110568329.15
